#Frame      Mode1    Mode2    Mode3
       1  -61.131  -42.993   57.862
       2  -55.794  -44.740   59.716
       3  -59.847  -34.614   55.171
       4  -53.500  -38.188   52.523
       5  -56.458  -50.136   46.462
       6  -74.538  -39.391   47.082
       7  -61.909  -43.360   49.602
       8  -61.724  -58.090   50.554
       9  -65.272  -52.390   56.584
      10  -60.046  -58.600   44.901
      11  -55.177  -59.823   37.141
      12  -43.654  -66.533   42.367
      13  -32.360  -56.650   56.332
      14  -52.178  -59.923   39.035
      15  -67.226  -52.515   42.798
      16  -80.121  -49.294   43.180
      17  -80.330  -40.262   60.749
      18  -81.434  -39.814   59.098
      19  -61.199  -59.273   59.898
      20  -72.024  -52.205   62.696
      21  -67.142  -57.616   51.743
      22  -77.996  -40.359   66.213
      23  -69.992  -34.563   57.554
      24  -65.952  -38.992   48.258
      25  -72.310  -34.944   33.597
      26  -69.781  -51.044   33.352
      27  -54.822  -64.758   36.931
      28  -49.789  -58.722   47.470
      29  -77.345  -50.505   51.676
      30  -72.067  -45.587   50.093
      31  -70.324  -41.276   46.993
      32  -72.891  -40.668   51.989
      33  -71.072  -37.315   58.118
      34  -67.421  -48.279   49.991
      35  -62.043  -39.490   53.653
      36  -71.876  -45.001   55.288
      37  -78.442  -42.587   40.126
      38  -78.052  -39.265   42.729
      39  -67.882  -37.487   47.574
      40  -90.829  -40.337   44.903
      41  -80.305  -36.972   56.151
      42  -66.867  -43.799   50.017
      43  -50.632  -51.319   46.821
      44  -65.954  -50.772   38.784
      45  -73.569  -37.441   34.696
      46  -64.864  -39.113   47.241
      47  -74.418  -36.599   46.014
      48  -49.029  -54.770   41.258
      49  -49.665  -42.626   38.951
      50  -38.018  -60.899   30.423
      51  -58.787  -54.933   26.428
      52  -44.616  -60.546   34.376
      53  -69.592  -46.513   28.751
      54  -52.440  -61.312   11.384
      55  -66.861  -49.056   21.618
      56  -60.763  -52.010   22.545
      57  -54.587  -58.759   21.911
      58  -44.783  -51.689   29.786
      59  -58.334  -42.447   24.407
      60  -51.531  -38.977   27.552
      61  -49.207  -50.190   25.724
      62  -57.959  -40.537   20.598
      63  -64.893  -40.860   23.451
      64  -65.787  -28.604   26.919
      65  -57.123  -47.643   24.820
      66  -47.062  -49.138   11.583
      67  -41.275  -63.126   10.734
      68  -37.735  -58.841   25.324
      69  -34.223  -64.305   20.601
      70  -31.188  -67.501   31.177
      71  -52.721  -61.784   19.001
      72  -52.446  -64.310   15.991
      73  -66.160  -56.465   12.394
      74  -57.556  -63.060   -1.110
      75  -57.233  -54.017    4.352
      76  -40.439  -66.613   10.645
      77  -40.878  -74.129   28.104
      78  -57.561  -62.234   31.535
      79  -73.040  -55.269   27.044
      80  -47.514  -63.830   17.929
      81  -36.308  -67.734   23.159
      82  -33.542  -65.310   10.359
      83  -29.045  -80.884   14.003
      84  -53.961  -58.268   18.219
      85  -57.088  -54.219   22.390
      86  -28.281  -67.539   16.204
      87  -39.747  -70.346   33.872
      88  -24.653  -74.571   21.595
      89  -35.860  -63.725   39.406
      90  -39.377  -60.138   41.590
      91  -46.180  -51.908   37.369
      92  -51.075  -52.492   39.318
      93  -46.284  -57.010   24.222
      94  -35.948  -53.909   26.346
      95  -37.606  -58.718   23.640
      96  -34.618  -61.770   24.374
      97  -29.293  -71.903   23.673
      98  -37.062  -62.355   23.579
      99  -50.168  -59.535   25.269
     100  -59.825  -40.971   22.371
     101  -46.821  -57.811   18.442
     102  -64.013  -39.058   24.351
     103  -60.318  -43.590   19.705
     104  -48.026  -57.999   10.693
     105  -21.803  -70.314   15.788
     106  -42.076  -53.440   20.086
     107  -42.573  -50.491   27.877
     108  -42.508  -56.777   13.119
     109  -51.146  -48.239   14.218
     110  -36.385  -69.499    5.634
     111  -46.589  -68.970   26.942
     112  -41.024  -70.319   26.546
     113  -41.150  -73.602   17.717
     114  -47.132  -63.547   22.021
     115  -43.139  -74.537   28.789
     116  -48.001  -75.279   18.318
     117  -54.904  -73.445   21.073
     118  -45.458  -78.817   19.274
     119  -37.942  -78.171   25.819
     120  -50.714  -56.289   31.074
     121  -53.172  -68.890   35.748
     122  -59.102  -55.179   46.754
     123  -60.495  -56.246   41.054
     124  -55.032  -59.678   37.661
     125  -38.020  -54.366   41.902
     126  -54.644  -54.276   41.269
     127  -61.844  -49.271   47.855
     128  -67.496  -50.457   24.839
     129  -84.401  -29.876   37.228
     130  -73.718  -28.810   45.924
     131  -64.537  -35.268   39.799
     132  -58.855  -56.709   33.564
     133  -73.114  -53.380   34.878
     134  -71.123  -43.290   33.428
     135  -68.892  -52.177   49.581
     136  -54.604  -60.303   52.654
     137  -59.882  -58.559   38.158
     138  -55.597  -52.512   48.446
