#Cluster   Frames     Frac  AvgDist    Stdev Centroid AvgCDist
       0      986    0.197    1.895    0.320     3808    1.848
       1      919    0.184    2.080    0.336     1185    2.054
       2      773    0.155    1.965    0.309     4136    2.093
       3      557    0.111    2.120    0.337     1910    1.959
       4      509    0.102    2.048    0.373      140    2.457
       5      479    0.096    1.939    0.347     3247    1.961
       6      430    0.086    2.032    0.321     2621    2.024
       7      213    0.043    1.977    0.346     2189    2.399
       8       76    0.015    1.595    0.269     4887    2.670
       9       58    0.012    1.707    0.277       47    2.938
